condition,J,offset,meanOccupancy,carrierEffectivePhotons,medianRawEffectivePhotons,minimumRawEffectivePhotons,medianPcaEffectivePhotons,minimumPcaEffectivePhotons,dynamicToCarrierRatio,requiredPowerMedianPca_W,requiredPowerMinimumPca_W,kerrShiftOverKappa,kerrBoundaryPower_W,kerrBoundaryEffectivePhotons,requiredSignalKerrImprovement
J=0,0,106,4.12928555338796,0.00619392833008194,6.04036181746755e-07,1.99303784512739e-07,1.62174589096618e-07,3.07245265012828e-10,2.61828326797047e-05,13.8122748605546,7290.59241940302,13917.8247146346,9.92416210417643e-05,0.0718503085434395,139178.247146346
J=0.65,0.65,106,0.385017107479529,0.000577525661219293,1.60905524038424e-07,3.41326602023371e-08,5.96480078065795e-08,4.21695316550397e-10,0.000103282004267392,37.5536431537436,5311.89205117078,3528.28237942886,0.00106436047672076,0.283424026894887,35282.8237942886
J=0,0,107,4.12927730785679,0.00619391596178518,6.0464962476786e-07,2.06273920198306e-07,1.57970408659286e-07,3.26027191326308e-10,2.55041252793743e-05,14.1798708948793,6870.59257507779,14288.2012920255,9.92418192120055e-05,0.0699878157902297,142882.012920255
J=0.65,0.65,107,0.385015527641026,0.000577523291461539,1.55830721165768e-07,3.34298921648246e-08,5.742762207204e-08,3.95592199056611e-10,9.94377593442298e-05,39.005619929553,5662.39679483529,3664.68510726637,0.00106436484412296,0.272874741138657,36646.8510726637
J=0,0,108,4.12927768613407,0.00619391652920111,6.12678756708918e-07,2.06810691307801e-07,1.64329223084815e-07,3.24222995782251e-10,2.65307455000544e-05,13.6311725811779,6908.82518865008,13735.3123291612,9.92418101206028e-05,0.0728050426546848,137353.123291612
J=0.65,0.65,108,0.385016927850422,0.000577525391775633,1.60609051976394e-07,3.50414614492767e-08,6.03406932347909e-08,4.24857332476087e-10,0.00010448145500455,37.1225433437426,5272.35810417861,3487.77757500473,0.00106436097329665,0.286715531164181,34877.7757500473
J=0,0,109,4.12928212193528,0.00619392318290293,5.93994438043973e-07,1.84205313717983e-07,1.62897572168204e-07,2.86676935076169e-10,2.62995790160669e-05,13.7509722839026,7813.67360232466,13856.0421650138,9.92417035120136e-05,0.0721706810711774,138560.421650138
J=0.65,0.65,109,0.385018819834937,0.000577528229752406,1.56318143099604e-07,3.23485430649404e-08,5.92838650340013e-08,4.22586464283134e-10,0.000102651025490853,37.7843111058175,5300.69036593466,3549.97014424574,0.0010643557430212,0.281692509899254,35499.7014424574
J=0,0,110,4.12928613715291,0.00619392920572937,6.14564834234496e-07,2.12158496519617e-07,1.7236064302036e-07,3.14251769927637e-10,2.78273511523068e-05,12.9960062851204,7128.04258991384,13095.3202758764,9.92416070117896e-05,0.0763631571380621,130953.202758764
J=0.65,0.65,110,0.385023192303577,0.000577534788455365,1.61670151757127e-07,3.56411924883968e-08,6.13565727999602e-08,4.43650723249211e-10,0.000106238747909992,36.5079061260973,5049.01690139188,3430.08631914102,0.0010643436557958,0.291537852683085,34300.8631914102
