t,sameInputNorm,sameInputBound,oldHistoryNorm,oldHistoryBound
10.5625,3.30888906990706,3.30888906990706,0.112676960058729,0.112676960058727
10.575,3.30640833349706,3.30640833349707,0.112592484021158,0.112592484021157
10.5875,3.30392945694185,3.30392945694185,0.112508071316863,0.112508071316862
10.6,3.30145243884703,3.30145243884704,0.112423721898361,0.11242372189836
10.6125,3.29897727781931,3.29897727781931,0.112339435718206,0.112339435718204
10.625,3.29650397246639,3.29650397246639,0.112255212728987,0.112255212728985
10.6375,3.29403252139704,3.29403252139704,0.112171052883327,0.112171052883325
10.65,3.29156292322107,3.29156292322107,0.112086956133887,0.112086956133886
10.6625,3.28909517654933,3.28909517654934,0.112002922433364,0.112002922433362
10.675,3.28662927999372,3.28662927999372,0.111918951734487,0.111918951734485
10.6875,3.28416523216716,3.28416523216716,0.111835043990024,0.111835043990022
10.7,3.28170303168363,3.28170303168363,0.111751199152775,0.111751199152773
10.7125,3.27924267715814,3.27924267715815,0.11166741717558,0.111667417175578
10.725,3.27678416720675,3.27678416720675,0.111583698011309,0.111583698011307
10.7375,3.27432750044653,3.27432750044654,0.111500041612871,0.111500041612869
10.75,3.27187267549563,3.27187267549563,0.11141644793321,0.111416447933208
10.7625,3.26941969097318,3.26941969097319,0.111332916925303,0.111332916925301
10.775,3.2669685454994,3.26696854549941,0.111249448542166,0.111249448542164
10.7875,3.26451923769552,3.26451923769552,0.111166042736846,0.111166042736844
10.8,3.26207176618379,3.26207176618379,0.111082699462428,0.111082699462426
10.8125,3.25962612958751,3.25962612958752,0.110999418672031,0.110999418672029
10.825,3.25718232653102,3.25718232653103,0.110916200318811,0.110916200318808
10.8375,3.25474035563967,3.25474035563968,0.110833044355955,0.110833044355953
10.85,3.25230021553986,3.25230021553987,0.110749950736691,0.110749950736689
10.8625,3.24986190485901,3.24986190485902,0.110666919414276,0.110666919414274
10.875,3.24742542222556,3.24742542222557,0.110583950342007,0.110583950342005
10.8875,3.244990766269,3.24499076626901,0.110501043473212,0.11050104347321
10.9,3.24255793561983,3.24255793561984,0.110418198761258,0.110418198761256
10.9125,3.24012692890959,3.24012692890959,0.110335416159543,0.110335416159541
10.925,3.23769774477082,3.23769774477083,0.110252695621503,0.1102526956215
10.9375,3.23527038183713,3.23527038183714,0.110170037100606,0.110170037100604
10.95,3.23284483874311,3.23284483874312,0.110087440550359,0.110087440550357
10.9625,3.2304211141244,3.2304211141244,0.1100049059243,0.110004905924298
10.975,3.22799920661765,3.22799920661765,0.109922433176003,0.109922433176001
10.9875,3.22557911486053,3.22557911486054,0.109840022259078,0.109840022259076
11,3.22316083749176,3.22316083749176,0.109757673127168,0.109757673127166
11.0125,3.22074437315104,3.22074437315104,0.109675385733952,0.10967538573395
11.025,3.21832972047911,3.21832972047912,0.109593160033144,0.109593160033142
11.0375,3.21591687811774,3.21591687811775,0.109510995978491,0.109510995978489
11.05,3.2135058447097,3.21350584470971,0.109428893523776,0.109428893523774
11.0625,3.21109661889878,3.21109661889878,0.109346852622817,0.109346852622815
11.075,3.20868919932979,3.2086891993298,0.109264873229465,0.109264873229463
11.0875,3.20628358464856,3.20628358464857,0.109182955297607,0.109182955297605
11.1,3.20387977350193,3.20387977350194,0.109101098781165,0.109101098781163
11.1125,3.20147776453776,3.20147776453777,0.109019303634093,0.109019303634091
11.125,3.19907755640492,3.19907755640493,0.108937569810383,0.108937569810381
11.1375,3.19667914775328,3.19667914775329,0.108855897264058,0.108855897264056
11.15,3.19428253723376,3.19428253723376,0.108774285949179,0.108774285949177
11.1625,3.19188772349824,3.19188772349824,0.108692735819838,0.108692735819836
11.175,3.18949470519965,3.18949470519966,0.108611246830164,0.108611246830162
11.1875,3.18710348099192,3.18710348099192,0.10852981893432,0.108529818934318
11.2,3.18471404952998,3.18471404952998,0.108448452086501,0.108448452086499
11.2125,3.18232640946977,3.18232640946978,0.10836714624094,0.108367146240937
11.225,3.17994055946826,3.17994055946826,0.108285901351901,0.108285901351898
11.2375,3.17755649818339,3.1775564981834,0.108204717373684,0.108204717373682
11.25,3.17517422427414,3.17517422427414,0.108123594260624,0.108123594260621
11.2625,3.17279373640047,3.17279373640048,0.108042531967088,0.108042531967086
11.275,3.17041503322336,3.17041503322337,0.10796153044748,0.107961530447477
11.2875,3.16803811340479,3.1680381134048,0.107880589656235,0.107880589656233
