conditionIndex,condition,perturbation,level,protocol,n,meanNRMSE,sdNRMSE,medianNRMSE,q25NRMSE,q75NRMSE
1,J=0,retained_channel_fraction,0.25,pca_readout_recalibrated,30,0.303270877217415,0.00737358883290077,0.303305535931784,0.295668573676005,0.309515837668636
1,J=0,retained_channel_fraction,0.25,zero_shot,30,2.94878239105235,1.8605801325687,2.49892130816265,1.63978932630408,3.71724117181221
1,J=0,retained_channel_fraction,0.5,pca_readout_recalibrated,30,0.303035589101608,0.00744545971537465,0.303218465924199,0.295688558243431,0.308544289307142
1,J=0,retained_channel_fraction,0.5,zero_shot,30,3.34100143241577,1.90946276209881,2.7767784933303,1.70819870800448,5.31441214890039
1,J=0,retained_channel_fraction,0.75,pca_readout_recalibrated,30,0.30275014523322,0.0076470951044267,0.302419770692432,0.294997486433537,0.30821091920659
1,J=0,retained_channel_fraction,0.75,zero_shot,30,2.81390926561282,1.59363485794259,2.52231382781993,1.66589324167517,3.75828759103114
1,J=0,sampling_jitter_fraction,0.01,pca_readout_recalibrated,30,0.30255601848975,0.007578700411896,0.302765673747962,0.295098221590642,0.308815480228533
1,J=0,sampling_jitter_fraction,0.01,zero_shot,30,0.302653694721171,0.00759166713062328,0.30286330706262,0.295243019758477,0.309028145097238
1,J=0,sampling_jitter_fraction,0.05,pca_readout_recalibrated,30,0.302524610406753,0.00761182494299801,0.302707548895548,0.295055088328701,0.308830667387982
1,J=0,sampling_jitter_fraction,0.05,zero_shot,30,0.305180575808896,0.00761362471717257,0.305321455405388,0.297898666000486,0.311960172050362
1,J=0,sampling_jitter_fraction,0.1,pca_readout_recalibrated,30,0.302493024916229,0.00765434486082311,0.3026419128369,0.295008024744996,0.308859383932244
1,J=0,sampling_jitter_fraction,0.1,zero_shot,30,0.313089533528455,0.00751587737835091,0.313052221049806,0.305856825131246,0.320146908143073
1,J=0,shot_noise_photons,1000,pca_readout_recalibrated,30,0.356565069252244,0.0193986719996405,0.351513294610281,0.346279582994221,0.369343467096609
1,J=0,shot_noise_photons,1000,zero_shot,30,6.30008390790823,7.24629389772565,3.559530839998,2.47370030098636,4.38308476313084
1,J=0,shot_noise_photons,10000,pca_readout_recalibrated,30,0.335406506807194,0.023468523607031,0.324689066618871,0.317515143122364,0.347673473728134
1,J=0,shot_noise_photons,10000,zero_shot,30,2.0320273758074,2.24822950984192,1.14818409773576,0.837549940901377,1.43398431344571
1,J=0,shot_noise_photons,100000,pca_readout_recalibrated,30,0.317197626838555,0.0170606483404695,0.311576918069913,0.304767268672954,0.320442869143522
