seedIndex,conditionIndex,condition,perturbation,level,replicate,protocol,ridgeLambda,validationNRMSE
1,1,J=0,failed_modes,2,1,zero_shot,0.001,2.60849376070358
1,1,J=0,failed_modes,2,1,pca_readout_recalibrated,0.001,0.298252206136198
1,1,J=0,failed_modes,2,2,zero_shot,0.001,2.30558361545137
1,1,J=0,failed_modes,2,2,pca_readout_recalibrated,0.001,0.296885888766571
1,1,J=0,failed_modes,2,3,zero_shot,0.001,2.68313778151335
1,1,J=0,failed_modes,2,3,pca_readout_recalibrated,0.001,0.293966935941493
1,1,J=0,failed_modes,3,1,zero_shot,0.001,1.80037462339265
1,1,J=0,failed_modes,3,1,pca_readout_recalibrated,0.001,0.29900465505905
1,1,J=0,failed_modes,3,2,zero_shot,0.001,1.0218240247207
1,1,J=0,failed_modes,3,2,pca_readout_recalibrated,0.001,0.29461767066372
1,1,J=0,failed_modes,3,3,zero_shot,0.001,2.52479086240116
1,1,J=0,failed_modes,3,3,pca_readout_recalibrated,0.001,0.294259239904907
1,4,J=0.65,clean,0,1,zero_shot,0.00215443469003188,0.264972189023996
1,4,J=0.65,detector_snr_db,40,1,zero_shot,0.00215443469003188,4.01789694250106
1,4,J=0.65,detector_snr_db,40,1,pca_readout_recalibrated,0.00215443469003188,0.3488286513747
1,4,J=0.65,detector_snr_db,40,2,zero_shot,0.00215443469003188,4.11140978028651
1,4,J=0.65,detector_snr_db,40,2,pca_readout_recalibrated,0.00215443469003188,0.346022854825839
1,4,J=0.65,detector_snr_db,40,3,zero_shot,0.00215443469003188,4.25651232805517
1,4,J=0.65,detector_snr_db,40,3,pca_readout_recalibrated,0.00215443469003188,0.350754565204425
1,4,J=0.65,detector_snr_db,30,1,zero_shot,0.00215443469003188,12.8216266220593
1,4,J=0.65,detector_snr_db,30,1,pca_readout_recalibrated,0.00215443469003188,0.375623354091697
1,4,J=0.65,detector_snr_db,30,2,zero_shot,0.00215443469003188,12.7438950713627
1,4,J=0.65,detector_snr_db,30,2,pca_readout_recalibrated,0.00215443469003188,0.377698817991801
1,4,J=0.65,detector_snr_db,30,3,zero_shot,0.00215443469003188,12.9967070748657
1,4,J=0.65,detector_snr_db,30,3,pca_readout_recalibrated,0.00215443469003188,0.380813689537279
1,4,J=0.65,detector_snr_db,20,1,zero_shot,0.00215443469003188,41.1147814538878
1,4,J=0.65,detector_snr_db,20,1,pca_readout_recalibrated,0.00215443469003188,0.408472159156334
1,4,J=0.65,detector_snr_db,20,2,zero_shot,0.00215443469003188,40.5047245036149
1,4,J=0.65,detector_snr_db,20,2,pca_readout_recalibrated,0.00215443469003188,0.410012813914545
1,4,J=0.65,detector_snr_db,20,3,zero_shot,0.00215443469003188,40.9198170542123
1,4,J=0.65,detector_snr_db,20,3,pca_readout_recalibrated,0.00215443469003188,0.40753908591229
1,4,J=0.65,shot_noise_photons,100000,1,zero_shot,0.00215443469003188,0.963095250329345
1,4,J=0.65,shot_noise_photons,100000,1,pca_readout_recalibrated,0.00215443469003188,0.300922867625506
1,4,J=0.65,shot_noise_photons,100000,2,zero_shot,0.00215443469003188,0.947149036254418
1,4,J=0.65,shot_noise_photons,100000,2,pca_readout_recalibrated,0.00215443469003188,0.303770505346261
1,4,J=0.65,shot_noise_photons,100000,3,zero_shot,0.00215443469003188,0.949544065872594
1,4,J=0.65,shot_noise_photons,100000,3,pca_readout_recalibrated,0.00215443469003188,0.303160011798791
1,4,J=0.65,shot_noise_photons,10000,1,zero_shot,0.00215443469003188,2.96983140752964
1,4,J=0.65,shot_noise_photons,10000,1,pca_readout_recalibrated,0.00215443469003188,0.33483722838509
1,4,J=0.65,shot_noise_photons,10000,2,zero_shot,0.00215443469003188,2.8627578173946
1,4,J=0.65,shot_noise_photons,10000,2,pca_readout_recalibrated,0.00215443469003188,0.337594393192927
1,4,J=0.65,shot_noise_photons,10000,3,zero_shot,0.00215443469003188,2.91350861542172
1,4,J=0.65,shot_noise_photons,10000,3,pca_readout_recalibrated,0.00215443469003188,0.333202152957992
1,4,J=0.65,shot_noise_photons,1000,1,zero_shot,0.00215443469003188,9.1039257746272
1,4,J=0.65,shot_noise_photons,1000,1,pca_readout_recalibrated,0.00215443469003188,0.367245218337289
1,4,J=0.65,shot_noise_photons,1000,2,zero_shot,0.00215443469003188,9.26753104570602
1,4,J=0.65,shot_noise_photons,1000,2,pca_readout_recalibrated,0.00215443469003188,0.371086388530728
1,4,J=0.65,shot_noise_photons,1000,3,zero_shot,0.00215443469003188,9.19116699767405
1,4,J=0.65,shot_noise_photons,1000,3,pca_readout_recalibrated,0.00215443469003188,0.370928423196447
1,4,J=0.65,quantization_bits,12,1,zero_shot,0.00215443469003188,0.391590525208408
1,4,J=0.65,quantization_bits,12,1,pca_readout_recalibrated,0.00215443469003188,0.377173597571468
1,4,J=0.65,quantization_bits,12,2,zero_shot,0.00215443469003188,0.391590525208408
1,4,J=0.65,quantization_bits,12,2,pca_readout_recalibrated,0.00215443469003188,0.377173597571468
1,4,J=0.65,quantization_bits,12,3,zero_shot,0.00215443469003188,0.391590525208408
1,4,J=0.65,quantization_bits,12,3,pca_readout_recalibrated,0.00215443469003188,0.377173597571468
