readoutId,readoutTrajectoryId,requestedVirtualSamples,actualVirtualSamples,virtualNodeIdx,tapSetIndex,tapDelays,nDelayBlocks,nPC,actualCoefficientsIncludingBias,rawQuadratureDimension
139,35,10,10,7;10;13;16;19;23;26;29;32;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
140,35,10,10,7;10;13;16;19;23;26;29;32;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
141,36,6,6,11;20;29;37;46;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
142,36,6,6,11;20;29;37;46;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
143,36,10,10,11;16;21;26;31;35;40;45;50;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
144,36,10,10,11;16;21;26;31;35;40;45;50;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
145,37,6,6,7;13;18;24;29;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
146,37,6,6,7;13;18;24;29;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
147,37,10,10,7;10;13;16;19;23;26;29;32;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
148,37,10,10,7;10;13;16;19;23;26;29;32;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
149,38,6,6,11;20;29;37;46;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
150,38,6,6,11;20;29;37;46;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
151,38,10,10,11;16;21;26;31;35;40;45;50;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
152,38,10,10,11;16;21;26;31;35;40;45;50;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
153,39,6,6,7;13;18;24;29;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
154,39,6,6,7;13;18;24;29;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
155,39,10,10,7;10;13;16;19;23;26;29;32;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
156,39,10,10,7;10;13;16;19;23;26;29;32;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
157,40,6,6,11;20;29;37;46;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
158,40,6,6,11;20;29;37;46;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
159,40,10,10,11;16;21;26;31;35;40;45;50;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
160,40,10,10,11;16;21;26;31;35;40;45;50;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
161,41,6,6,7;13;18;24;29;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
162,41,6,6,7;13;18;24;29;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
163,41,10,10,7;10;13;16;19;23;26;29;32;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
164,41,10,10,7;10;13;16;19;23;26;29;32;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
165,42,6,6,11;20;29;37;46;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
166,42,6,6,11;20;29;37;46;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
167,42,10,10,11;16;21;26;31;35;40;45;50;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
168,42,10,10,11;16;21;26;31;35;40;45;50;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
169,43,6,6,7;13;18;24;29;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
170,43,6,6,7;13;18;24;29;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
171,43,10,10,7;10;13;16;19;23;26;29;32;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
172,43,10,10,7;10;13;16;19;23;26;29;32;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
173,44,6,6,11;20;29;37;46;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
174,44,6,6,11;20;29;37;46;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
175,44,10,10,11;16;21;26;31;35;40;45;50;55,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,720
176,44,10,10,11;16;21;26;31;35;40;45;50;55,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,720
177,45,6,6,7;13;18;24;29;35,1,0;1;2;3;4;5;6;7;8;9;10,11,31,342,432
178,45,6,6,7;13;18;24;29;35,2,0;1;2;3;4;5;6;7;8;9;10;12;15,13,26,339,432
