caseLabel,featureMode,variant,K,J,nPC,tapDelays,readoutCoefficients,valNRMSE,testNRMSE,R2true,lambdaBest,lockedIndex
K+0_J0,linear_features,Budget257,0,0,19,0;1;2;3;4;5;6;7;8;9;10;12;15,248,0.315629633396373,0.296623537952469,0.91201447673256,0.00464158883361278,4
K+0_J0,linear_features,Budget351,0,0,26,0;1;2;3;4;5;6;7;8;9;10;12;15,339,0.314821619002149,0.289625274635743,0.916117200292171,0.01,4
K+0_J0,linear_features,Budget513,0,0,39,0;1;2;3;4;5;6;7;8;9;10;12;15,508,0.312387476174242,0.287543777778463,0.91731857586089,0.0464158883361278,4
K+0_J0,linear_features,Budget1025,0,0,78,0;1;2;3;4;5;6;7;8;9;10;12;15,1015,0.310824669030668,0.288756836175809,0.916619489561737,21.5443469003188,4
K+0_J0,linear_features,Budget2049,0,0,157,0;1;2;3;4;5;6;7;8;9;10;12;15,2042,0.316989620053903,0.298217666304966,0.91106622350362,1000,4
K+0_J0,number_features,Budget65,0,0,4,0;1;2;3;4;5;6;7;8;9;10;12;15,53,0.381085938877069,0.362531137913735,0.868571174042972,1e-06,4
K+0_J0,number_features,Budget129,0,0,9,0;1;2;3;4;5;6;7;8;9;10;12;15,118,0.337553212112463,0.318775724049646,0.898382037756624,4.64158883361278e-05,4
K+0_J0,number_features,Budget257,0,0,19,0;1;2;3;4;5;6;7;8;9;10;12;15,248,0.325731625360237,0.303348590783681,0.907979632469555,0.0001,4
K+0_J0,number_features,Budget351,0,0,26,0;1;2;3;4;5;6;7;8;9;10;12;15,339,0.323060298360184,0.294090645009205,0.91351069251807,0.000464158883361278,4
K+0_J0,number_features,Budget513,0,0,39,0;1;2;3;4;5;6;7;8;9;10;12;15,508,0.324483444544253,0.294530698321533,0.91325166774623,0.0001,4
K+0_J0,number_features,Budget1025,0,0,78,0;1;2;3;4;5;6;7;8;9;10;12;15,1015,0.328968113922141,0.29185853330284,0.914818596538315,4.64158883361278,4
K+0_J0,number_features,Budget2049,0,0,157,0;1;2;3;4;5;6;7;8;9;10;12;15,2042,0.342420308739877,0.296235292699966,0.912244651358965,464.158883361278,4
K+0_J0.65,linear_features,Budget65,0,0.65,4,0;1;2;3;4;5;6;7;8;9;10;12;15,53,0.386469317099924,0.372216158337243,0.861455131472665,0.000464158883361278,4
K+0_J0.65,linear_features,Budget129,0,0.65,9,0;1;2;3;4;5;6;7;8;9;10;12;15,118,0.335238203997804,0.323382213519273,0.895423943979375,0.001,4
K+0_J0.65,linear_features,Budget257,0,0.65,19,0;1;2;3;4;5;6;7;8;9;10;12;15,248,0.279943034778761,0.268616090232691,0.927845396068103,1e-06,4
K+0_J0.65,linear_features,Budget351,0,0.65,26,0;1;2;3;4;5;6;7;8;9;10;12;15,339,0.269313236885929,0.253235757367176,0.935871651190673,0.0001,4
K+0_J0.65,linear_features,Budget513,0,0.65,39,0;1;2;3;4;5;6;7;8;9;10;12;15,508,0.257835409617144,0.242243558885749,0.941318058178367,0.0001,4
K+0_J0.65,linear_features,Budget1025,0,0.65,78,0;1;2;3;4;5;6;7;8;9;10;12;15,1015,0.255112641809027,0.239327465395558,0.942722364307338,2.15443469003188,4
K+0_J0.65,linear_features,Budget2049,0,0.65,157,0;1;2;3;4;5;6;7;8;9;10;12;15,2042,0.260953731731066,0.243588987067675,0.940664405379344,21.5443469003188,4
K+0_J0.65,number_features,Budget65,0,0.65,4,0;1;2;3;4;5;6;7;8;9;10;12;15,53,0.369599083327946,0.350525373725027,0.877131962374931,1e-06,4
K+0_J0.65,number_features,Budget129,0,0.65,9,0;1;2;3;4;5;6;7;8;9;10;12;15,118,0.352215234546813,0.333563944289889,0.888735095069772,0.01,4
K+0_J0.65,number_features,Budget257,0,0.65,19,0;1;2;3;4;5;6;7;8;9;10;12;15,248,0.314393405291711,0.303171567392484,0.908087000724785,0.00215443469003188,4
K+0_J0.65,number_features,Budget351,0,0.65,26,0;1;2;3;4;5;6;7;8;9;10;12;15,339,0.306231256415788,0.295723372861414,0.912547686743469,0.001,4
K+0_J0.65,number_features,Budget513,0,0.65,39,0;1;2;3;4;5;6;7;8;9;10;12;15,508,0.281250906319348,0.266571558421656,0.92893960424065,0.000215443469003188,4
K+0_J0.65,number_features,Budget1025,0,0.65,78,0;1;2;3;4;5;6;7;8;9;10;12;15,1015,0.26165193590575,0.237515531943977,0.94358637208537,2.15443469003189e-06,4
K+0_J0.65,number_features,Budget2049,0,0.65,157,0;1;2;3;4;5;6;7;8;9;10;12;15,2042,0.256542957043157,0.236692516368154,0.943976652695311,100,4
K+0_J0,linear_features,Budget65,0,0,4,0;1;2;3;4;5;6;7;8;9;10;12;15,53,0.382285126393575,0.381798047482934,0.854230250938219,0.000464158883361278,5
K+0_J0,linear_features,Budget129,0,0,9,0;1;2;3;4;5;6;7;8;9;10;12;15,118,0.319981859325774,0.33712314444923,0.886347985476664,0.000464158883361278,5
K+0_J0,linear_features,Budget257,0,0,19,0;1;2;3;4;5;6;7;8;9;10;12;15,248,0.301381142977998,0.309657535730393,0.904112210565381,0.00464158883361278,5
K+0_J0,linear_features,Budget351,0,0,26,0;1;2;3;4;5;6;7;8;9;10;12;15,339,0.301003721838007,0.306865602801358,0.905833501817359,0.01,5
K+0_J0,linear_features,Budget513,0,0,39,0;1;2;3;4;5;6;7;8;9;10;12;15,508,0.296243096767072,0.302480840893651,0.90850534089227,0.0464158883361278,5
K+0_J0,linear_features,Budget1025,0,0,78,0;1;2;3;4;5;6;7;8;9;10;12;15,1015,0.297926394601632,0.301651519747768,0.909006360633862,21.5443469003188,5
K+0_J0,linear_features,Budget2049,0,0,157,0;1;2;3;4;5;6;7;8;9;10;12;15,2042,0.303447722661213,0.306229210467805,0.906223670656265,1000,5
K+0_J0,number_features,Budget65,0,0,4,0;1;2;3;4;5;6;7;8;9;10;12;15,53,0.343854016033476,0.355826669968095,0.873387380939416,1e-06,5
K+0_J0,number_features,Budget129,0,0,9,0;1;2;3;4;5;6;7;8;9;10;12;15,118,0.317134282745545,0.326666900487496,0.893288736125892,4.64158883361278e-05,5
K+0_J0,number_features,Budget257,0,0,19,0;1;2;3;4;5;6;7;8;9;10;12;15,248,0.307422055757606,0.313619800980533,0.901642620432931,0.0001,5
K+0_J0,number_features,Budget351,0,0,26,0;1;2;3;4;5;6;7;8;9;10;12;15,339,0.307605674984301,0.309314610359924,0.904324471817889,0.000464158883361278,5
K+0_J0,number_features,Budget513,0,0,39,0;1;2;3;4;5;6;7;8;9;10;12;15,508,0.30627732746627,0.301477939826297,0.909111051798091,0.0001,5
